Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,fire_occurred
34.0835,-118.4958,327.0,1.1,1.1,305.4,23.2,D,0,2019-10-28 21:00:00,0.1,0.920624,1
34.085,-118.4835,325.2,1.1,1.1,308.3,20.3,D,2,2019-10-28 21:00:00,0.1,0.920624,1
34.0861,-118.4904,403.2,1.7,1.3,293.1,611.5,N,0,2019-10-28 10:00:00,0.1,3.7975739999999996,1
34.087,-118.4594,310.5,3.6,1.8,298.5,43.2,D,2,2019-10-28 18:00:00,0.1,1.380936,1
34.0892,-118.4913,326.2,1.1,1.1,307.8,23.4,D,0,2019-10-28 21:00:00,0.1,0.920624,1
34.0893,-118.497,312.6,3.6,1.8,299.1,57.1,D,0,2019-10-28 18:00:00,0.1,1.380936,1
34.0905,-117.5271,309.6,1.0,1.0,295.4,3.9,D,2,2019-03-12 19:00:00,0.1,9.20624,0
34.091,-117.5356,314.8,1.0,1.0,301.0,5.8,D,2,2019-02-25 21:00:00,0.1,2.186482,1
34.091,-117.534,308.8,1.1,1.0,295.4,5.3,D,2,2019-02-07 21:00:00,0.1,2.992028,1
34.0912,-117.5342,301.0,1.0,1.0,287.9,3.3,D,2,2019-01-07 19:00:00,0.1,2.992028,0
34.092,-117.5379,307.7,1.0,1.0,293.8,2.5,D,2,2019-03-12 19:00:00,0.1,9.20624,0
34.0921,-117.5332,303.4,1.1,1.1,292.7,5.6,N,2,2019-07-10 06:00:00,0.1,1.9563259999999998,0
34.0935,-117.5265,304.8,1.1,1.0,291.6,4.3,D,2,2019-01-21 19:00:00,0.1,4.833276,1
34.0936,-117.5308,304.5,1.0,1.0,292.5,3.5,D,2,2019-01-23 19:00:00,0.1,2.761872,0
34.0938,-118.4684,444.0,1.7,1.3,312.9,1430.7,N,2,2019-10-28 10:00:00,0.1,3.7975739999999996,1
34.0955,-117.5335,300.8,1.1,1.0,288.2,3.5,D,2,2019-02-06 19:00:00,0.1,2.186482,0
34.0959,-117.5324,304.2,1.3,1.1,292.4,5.4,D,2,2019-01-09 18:00:00,0.1,4.372964,0
34.0962,-117.5321,307.4,1.3,1.1,295.0,6.5,D,2,2019-01-25 18:00:00,0.1,23.936224,1
34.0965,-117.5321,303.6,1.0,1.0,290.6,5.6,N,2,2019-06-06 06:00:00,0.1,2.071404,0
34.097,-118.4883,310.5,3.6,1.8,299.4,45.4,D,0,2019-10-28 18:00:00,0.1,1.380936,1
34.0976,-118.4877,451.2,1.7,1.3,307.1,1625.6,N,0,2019-10-28 10:00:00,0.1,3.7975739999999996,1
34.1052,-118.4657,325.4,1.7,1.3,286.8,55.8,N,2,2019-10-28 10:00:00,0.1,3.7975739999999996,1
34.1089,-118.4844,327.0,1.7,1.3,285.9,59.9,N,0,2019-10-28 10:00:00,0.1,3.7975739999999996,1
34.1237,-117.9391,301.7,1.1,1.0,290.3,3.4,D,2,2019-01-21 19:00:00,0.1,6.904679999999999,0
34.2585,-118.8218,317.0,3.2,1.7,294.5,66.5,D,0,2019-10-30 19:00:00,0.1,13.579203999999999,1
