Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,Chance_of_fire
34.3172,-119.1349,310.2,1.9,1.4,290.6,24.6,D,0,2017-02-28 19:00:00,0.1,3.567418,70
34.3196,-119.1258,308.0,1.3,1.1,293.2,9.5,D,0,2017-02-14 19:00:00,0.1,2.186482,64
34.3221,-119.1395,305.8,1.3,1.1,292.9,7.5,D,0,2017-02-14 19:00:00,0.1,2.186482,59
34.3236,-119.1421,306.1,2.6,1.5,283.7,38.6,N,0,2017-12-06 05:00:00,0.1,13.809359999999998,67
34.3258,-119.1494,314.5,1.1,1.0,285.6,18.1,N,0,2017-12-06 10:00:00,0.1,5.638822,89
34.3386,-119.1335,322.7,1.5,1.2,290.5,33.4,N,0,2017-12-05 06:00:00,0.1,8.05546,100
34.3459,-119.1026,311.2,2.4,1.5,295.5,23.3,D,0,2017-12-05 22:00:00,0.1,9.666552,47
34.3479,-119.0758,312.0,2.4,1.5,295.3,26.9,D,0,2017-12-05 22:00:00,0.1,9.666552,24
34.3494,-119.1357,480.0,1.5,1.2,334.5,2165.8,N,0,2017-12-05 06:00:00,0.1,8.05546,100
34.3504,-119.1942,352.6,3.8,1.8,287.1,450.4,N,0,2017-12-05 11:00:00,0.1,12.313345999999997,100
34.3518,-119.22,341.0,1.5,1.2,285.6,80.2,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3535,-119.2041,343.8,1.5,1.2,286.0,87.8,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3552,-119.1869,338.0,1.5,1.2,287.1,67.3,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.357,-119.1699,350.7,1.5,1.2,289.7,112.3,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3585,-119.1954,353.3,3.8,1.8,286.6,456.8,N,0,2017-12-05 11:00:00,0.1,12.313345999999997,100
34.3586,-119.1535,365.5,1.5,1.2,291.3,182.0,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3627,-119.221,386.5,1.5,1.2,288.0,325.8,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3643,-119.2053,408.2,1.5,1.2,293.3,551.7,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3658,-119.1873,330.9,3.8,1.8,284.4,195.1,N,0,2017-12-05 11:00:00,0.1,12.313345999999997,51
34.3661,-119.1886,393.8,1.5,1.2,297.0,392.1,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3678,-119.1718,376.8,1.5,1.2,296.8,251.9,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3679,-118.474,340.2,1.0,1.0,320.8,18.8,D,0,2017-06-25 21:00:00,0.1,0.230156,60
34.3694,-118.4631,335.7,1.0,1.0,320.5,14.2,D,0,2017-06-25 21:00:00,0.1,0.230156,59
34.3695,-119.1555,349.5,1.5,1.2,292.3,106.7,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3721,-119.4524,369.5,2.3,1.5,294.8,392.8,N,3,2017-12-07 10:00:00,0.1,2.87695,100
34.3752,-119.2068,326.5,1.5,1.2,283.0,40.8,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,72
34.3755,-118.4865,392.0,1.0,1.0,338.4,184.7,D,0,2017-06-25 21:00:00,0.1,0.230156,100
34.3769,-119.1902,380.8,1.5,1.2,286.9,281.5,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.377,-118.4755,443.7,1.0,1.0,400.1,625.8,D,0,2017-06-25 21:00:00,0.1,0.230156,100
34.3784,-118.4646,420.5,1.0,1.0,334.5,385.4,D,0,2017-06-25 21:00:00,0.1,0.230156,100
34.3786,-119.1738,383.1,1.5,1.2,291.5,298.7,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3803,-119.1575,388.4,1.5,1.2,300.0,345.2,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3807,-119.4525,337.2,1.1,1.0,287.2,43.5,N,0,2017-12-07 06:00:00,0.1,2.6467939999999994,100
34.3814,-119.2367,347.4,1.6,1.3,291.7,92.9,D,0,2017-12-05 18:00:00,0.1,0.690468,85
34.3833,-119.4556,346.5,1.1,1.0,294.5,58.2,D,0,2017-12-08 19:00:00,0.1,1.380936,82
34.3845,-118.4883,375.0,1.0,1.0,334.5,105.9,D,0,2017-06-25 21:00:00,0.1,0.230156,100
34.3852,-119.4667,324.8,1.1,1.0,291.9,22.0,D,0,2017-12-08 19:00:00,0.1,1.380936,56
34.3859,-119.4666,345.8,2.3,1.5,288.6,188.3,N,0,2017-12-07 10:00:00,0.1,2.87695,100
34.386,-118.4774,439.4,1.0,1.0,400.1,572.8,D,0,2017-06-25 21:00:00,0.1,0.230156,100
34.3863,-118.8285,318.1,2.5,1.5,293.4,58.2,D,0,2017-03-23 19:00:00,0.1,2.87695,78
34.3874,-118.4664,443.6,1.0,1.0,342.5,626.4,D,0,2017-06-25 21:00:00,0.1,0.230156,100
34.3877,-119.1926,318.3,1.5,1.2,282.9,26.5,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,65
34.3885,-118.8391,314.3,1.1,1.0,299.3,9.0,D,0,2017-03-23 21:00:00,0.1,4.488041999999999,42
34.3894,-119.176,378.7,1.5,1.2,287.7,263.5,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.39,-119.4721,314.1,2.3,1.5,285.6,47.1,N,0,2017-12-07 10:00:00,0.1,2.87695,88
34.3908,-119.2167,336.5,1.6,1.3,292.6,53.2,D,0,2017-12-05 18:00:00,0.1,0.690468,50
34.3911,-119.1596,456.1,1.5,1.2,308.8,1445.6,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.3925,-119.2343,427.3,1.6,1.3,313.4,908.3,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.395,-118.4791,339.3,1.0,1.0,324.1,12.1,D,0,2017-06-25 21:00:00,0.1,0.230156,68
