Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
39.1024,-121.6344,335.7,1.0,1.0,302.3,28.9,D,2,3.1,Knots,0.1,1
39.1024,-121.6344,335.7,1.0,1.0,302.3,28.9,D,2,166.0,Degrees Compass,0.1,1
39.1096,-121.6388,318.5,2.7,1.6,299.7,37.2,D,2,3.2,Knots,0.1,1
39.1096,-121.6388,318.5,2.7,1.6,299.7,37.2,D,2,163.0,Degrees Compass,0.1,1
39.1016,-121.6381,324.9,1.4,1.2,301.4,19.4,D,2,2.1,Knots,0.1,1
39.1016,-121.6381,324.9,1.4,1.2,301.4,19.4,D,2,121.0,Degrees Compass,0.1,1
39.1874,-121.9582,318.1,1.0,1.0,300.6,8.2,D,0,1.5,Knots,0.1,0
39.1874,-121.9582,318.1,1.0,1.0,300.6,8.2,D,0,138.0,Degrees Compass,0.1,0
39.0991,-121.6318,327.4,1.0,1.0,301.1,14.1,D,2,3.7,Knots,0.1,1
39.0991,-121.6318,327.4,1.0,1.0,301.1,14.1,D,2,161.0,Degrees Compass,0.1,1
39.101,-121.6434,327.0,1.0,1.0,302.3,14.1,D,2,3.7,Knots,0.1,1
39.101,-121.6434,327.0,1.0,1.0,302.3,14.1,D,2,161.0,Degrees Compass,0.1,1
39.3086,-121.7348,313.8,1.4,1.2,301.0,10.7,D,0,6.1,Knots,0.1,1
39.3086,-121.7348,313.8,1.4,1.2,301.0,10.7,D,0,346.0,Degrees Compass,0.1,1
39.3115,-121.7189,314.8,1.4,1.2,299.6,10.8,D,0,6.1,Knots,0.1,0
39.3115,-121.7189,314.8,1.4,1.2,299.6,10.8,D,0,346.0,Degrees Compass,0.1,0
35.4087,-119.066,331.5,2.0,1.4,312.0,39.1,D,2,0.4,Knots,0.1,1
35.4087,-119.066,331.5,2.0,1.4,312.0,39.1,D,2,277.0,Degrees Compass,0.1,1
33.941,-116.8911,304.3,1.1,1.1,290.9,7.4,N,0,5.6,Knots,0.1,1
33.941,-116.8911,304.3,1.1,1.1,290.9,7.4,N,0,256.0,Degrees Compass,1.0,1
33.5913,-116.0655,329.8,4.4,1.9,315.7,78.8,D,0,2.7,Knots,0.1,0
33.5913,-116.0655,329.8,4.4,1.9,315.7,78.8,D,0,159.1,Degrees Compass,0.1,0
33.5913,-116.0655,329.8,4.4,1.9,315.7,78.8,D,0,3.1,Knots,0.1,0
33.5913,-116.0655,329.8,4.4,1.9,315.7,78.8,D,0,136.0,Degrees Compass,1.0,0
39.1,-121.6258,317.6,2.5,1.5,303.4,25.2,D,2,3.9,Knots,0.1,0
39.1,-121.6258,317.6,2.5,1.5,303.4,25.2,D,2,162.0,Degrees Compass,0.1,0
34.1738,-117.3366,341.0,1.9,1.3,308.8,66.4,D,2,5.3,Knots,0.1,1
34.1738,-117.3366,341.0,1.9,1.3,308.8,66.4,D,2,226.0,Degrees Compass,1.0,1
34.039,-117.3789,337.0,1.2,1.1,315.8,15.2,D,2,2.4,Knots,0.1,1
34.039,-117.3789,337.0,1.2,1.1,315.8,15.2,D,2,254.0,Degrees Compass,1.0,1
38.4782,-121.8447,328.8,1.0,1.0,308.4,16.7,D,0,4.2,Knots,0.1,1
38.4782,-121.8447,328.8,1.0,1.0,308.4,16.7,D,0,158.0,Degrees Compass,0.1,1
38.487,-121.8425,367.9,1.0,1.0,312.8,102.5,D,0,4.2,Knots,0.1,1
